Characters A,Characters B,Role (Characters A),Role (Characters B),Weight
Hitesh Kakati,Manorama Kakati,Protagonist,Protagonist,144
Hitesh Kakati,Raja,Protagonist,Deuteragonist,26
Hitesh Kakati,Fatema,Protagonist,Static or Flat,13
Hitesh Kakati,Doctor 1,Protagonist,Minor,6
Hitesh Kakati,Naren,Protagonist,Minor,6
Hitesh Kakati,Doctor 2,Protagonist,Minor,3
Manorama Kakati,Doctor 1,Protagonist,Minor,3
Manorama Kakati,Raja,Protagonist,Deuteragonist,42
Manorama Kakati,Fatema,Protagonist,Static or Flat,41
